feature_row,source_id,class_label,hard_label,entropy,membership_0,membership_1,membership_2,membership_3,membership_4,membership_5
0,b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),4,0.9999999999999785,0.16666664183876584,0.1666666595481149,0.16666662356422632,0.1666667056043687,0.16666674738084877,0.16666662206367552
1,87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),4,0.9999999999999922,0.16666665216132398,0.1666666625049866,0.16666664148964652,0.16666668941066543,0.16666671381722634,0.16666664061615122
2,4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),4,0.9999999999999768,0.16666664105326032,0.1666666593162233,0.16666662221167658,0.16666670682527956,0.16666674992216532,0.16666662067139498
3,beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),4,0.9999999999999808,0.16666664336916992,0.16666665997965233,0.1666666262368472,0.16666670318981064,0.16666674238754978,0.16666662483697017
4,eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),4,0.9999999999999869,0.1666666476980279,0.1666666612139076,0.16666663376186966,0.16666669639053838,0.16666672830395765,0.16666663263169884
5,70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),5,0.9999999999999978,0.16666667332674734,0.166666668551254,0.16666667827273424,0.16666665617901827,0.1666666449661972,0.1666666787040489
6,6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),5,0.9999999999999876,0.16666668511497496,0.16666667192545515,0.16666669874888165,0.16666663768097587,0.16666660663061308,0.1666666998990993
7,c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),4,0.9999999999999803,0.1666666429909227,0.1666666598772641,0.1666666255666925,0.1666667037952813,0.1666667436327091,0.16666662413713024
8,8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),4,0.9999999999999799,0.16666664283778365,0.16666665983129322,0.16666662530507162,0.16666670403151265,0.1666667441257496,0.1666666238685891
9,bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),5,0.9999999999999658,0.166666697983373,0.16666667559852688,0.1666667211264594,0.1666666174655413,0.1666665647533543,0.16666672307274516
10,e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),4,0.9999999999999919,0.16666665191737712,0.16666666243459846,0.16666664106675447,0.1666666897925985,0.16666671460963078,0.16666664017904076
11,c6a52e79d8dcf8418e820334987c61fa30b74f8e443d9ce7de6b6e2a8d67b521,Anthracnose(102),4,0.9999999999999866,0.16666664733215886,0.1666666611155781,0.16666663311344282,0.16666669697671116,0.16666672950840536,0.16666663195370374
12,7db30e7a704366f44641e124b4052c8d47295a96fbc19f437249f90714b2c0d5,Anthracnose(102),4,0.9999999999999873,0.16666664790786598,0.16666666127406055,0.16666663412657604,0.1666666960611614,0.16666672762128937,0.1666666330090468
13,2cb6a7b46210b7b9362b49c03e03b521e06058a615bee11dad4631686f2f43c0,Anthracnose(102),4,0.9999999999999916,0.1666666515309422,0.166666662324049,0.16666664039609122,0.16666669039863644,0.16666671586559165,0.16666663948468952
14,46b56510d1634f55da4625ff12d15fd342cd90b0e524fc58b42f790ff3f734ce,Anthracnose(102),4,0.9999999999999729,0.1666666387270658,0.16666665864830188,0.16666661817504105,0.16666671047178425,0.16666675748252763,0.16666661649527956
15,6943ab94dac5431b78c31b826203c3fb49b82e2d99f383935f2804fb69bc9d3e,Anthracnose(102),4,0.9999999999999853,0.16666664646564244,0.16666666085851636,0.16666663162633785,0.1666666983195758,0.16666673230590895,0.1666666304240186
16,c8657185ea469ecd1112d617e67b58d06b60ae28da226daa1f7b7b0f27b3cd38,Anthracnose(102),4,0.9999999999999988,0.16666666241015848,0.1666666654140151,0.16666665933619634,0.1666666732855095,0.16666668043818744,0.16666665911593326
17,4c2b44f3e3130972dad56d12bf4c65bfddfe70f94e120e268109d1b0ad97437f,Anthracnose(102),4,0.9999999999999796,0.16666664258862815,0.16666665977451145,0.16666662484422742,0.16666670444900963,0.16666674496761963,0.16666662337600374
18,3f7812fb258535235edd6c60f77da30efe62efc24ac972e0a3f842ca1220424d,Anthracnose(102),4,0.9999999999999729,0.16666663884202948,0.1666666587055825,0.1666666183316441,0.1666667103331801,0.16666675715674112,0.1666666166308228
