feature_row,source_id,class_label,filename,cluster_label
0,b855dcf781196bdf4acdb6d3be0f3aa9f92a2a293d651b2d2bb180a8bf73035e,Anthracnose(102),Anthracnose (1).jpg,4
1,87cbaa0917db06ba22386cfefc348f6e0f1c8d41f630462a04943de4865a5db4,Anthracnose(102),Anthracnose (10).jpg,4
2,4a8cf82c320296d8022fa24f70b49324ec0cb8a233815cc77f65c996ac1d0060,Anthracnose(102),Anthracnose (100).jpg,4
3,beaca11596033dd112544ffda1492c5001772c521478dc629b6a217377080128,Anthracnose(102),Anthracnose (101).jpg,2
4,eb2943a18cceec63d2092dedf0198eb7804a571e3afa3c038349f5df330e3f06,Anthracnose(102),Anthracnose (102).jpg,2
5,70b5a84d44ffda7840ad92c2faacd92ea09254dfb3634a3348cf213e0cfa4456,Anthracnose(102),Anthracnose (11).jpg,2
6,6513ae19078b995e6b34bf8d7aeea25a37be6006561731d370f4d5329a502e43,Anthracnose(102),Anthracnose (12).jpg,2
7,c7aaa4a29753ec27c41c9c2bcdcdab975d27eec4cf4e70b60c8dee53acb51aee,Anthracnose(102),Anthracnose (13).jpg,4
8,8396b72c811ffc54aa9b89298c6afaa43a3ebf726bef63635d25148fdea4b6b4,Anthracnose(102),Anthracnose (14).jpg,4
9,bb4e4be9f661773672aa4b393cc3e825bf0f62b4d563b17df43d77247ae10a45,Anthracnose(102),Anthracnose (15).jpg,2
10,e12d7b8c036b365bd2dcb9ab1559ec380a9b1a2e6217104892f11182c35ae25d,Anthracnose(102),Anthracnose (16).jpg,4
11,c6a52e79d8dcf8418e820334987c61fa30b74f8e443d9ce7de6b6e2a8d67b521,Anthracnose(102),Anthracnose (17).jpg,4
12,7db30e7a704366f44641e124b4052c8d47295a96fbc19f437249f90714b2c0d5,Anthracnose(102),Anthracnose (18).jpg,2
13,2cb6a7b46210b7b9362b49c03e03b521e06058a615bee11dad4631686f2f43c0,Anthracnose(102),Anthracnose (19).jpg,2
14,46b56510d1634f55da4625ff12d15fd342cd90b0e524fc58b42f790ff3f734ce,Anthracnose(102),Anthracnose (2).jpg,4
15,6943ab94dac5431b78c31b826203c3fb49b82e2d99f383935f2804fb69bc9d3e,Anthracnose(102),Anthracnose (20).jpg,2
16,c8657185ea469ecd1112d617e67b58d06b60ae28da226daa1f7b7b0f27b3cd38,Anthracnose(102),Anthracnose (21).jpg,2
17,4c2b44f3e3130972dad56d12bf4c65bfddfe70f94e120e268109d1b0ad97437f,Anthracnose(102),Anthracnose (22).JPG,0
18,3f7812fb258535235edd6c60f77da30efe62efc24ac972e0a3f842ca1220424d,Anthracnose(102),Anthracnose (23).JPG,0
19,526fd33e4b2ea5317eab207b64b358fb75925782ebac10fe639c35e4d6f8cb6d,Anthracnose(102),Anthracnose (24).JPG,0
20,1603d84c9698fb404321601923cdfa49348e52d3127dea0fc9cb323156dd43e5,Anthracnose(102),Anthracnose (25).JPG,0
21,23267d001bb4a99631f67e346cd47ba951e215063368aece482c982e3a395686,Anthracnose(102),Anthracnose (26).JPG,0
22,6b1a65bb153f42171dda7e15979b6558a67e6c1c17b8bb62233a876beff828f2,Anthracnose(102),Anthracnose (27).jpg,2
23,01e291f8b62ce05388421f18ea31d1b500449970622347a63731caa7aa45ef5d,Anthracnose(102),Anthracnose (28).jpg,2
24,3fd350dd6a779747d6b949ab04631bac51bda24b29c569b920a3b6153e591c9d,Anthracnose(102),Anthracnose (29).jpg,2
25,dddbba7d6bb902b9b68f634ba95e2f5a769fada859ee665818e31341d015efa0,Anthracnose(102),Anthracnose (3).jpg,4
26,e4f3dea2556bf0d86ee01610a31409547e087f3c9bc9e2c83b1ea8bc7559541e,Anthracnose(102),Anthracnose (30).jpg,2
27,dc0d5ee594b0e487eb50870c4323a05a8f17acb1fb8a3b7b114849203ef2176c,Anthracnose(102),Anthracnose (31).jpg,2
28,8c2b8abcb7b63c6b87e783aade8f916cc2ac6424e5e34d9e2a489d01b6ec8fd1,Anthracnose(102),Anthracnose (32).jpg,2
29,ff9372bab07609f953cf6be2c245e37799272f1ec8a68337c6f803ad93b82ce3,Anthracnose(102),Anthracnose (33).jpg,2
30,b546b24bfe5990f26917a5222f981caccf8d9ce4cdd5ee38b7942ccaa7ff9c04,Anthracnose(102),Anthracnose (34).jpg,2
31,637e2a107e65d1fb2d6085f530a07490065d817d1f3fb6169b7879e36beb0ec5,Anthracnose(102),Anthracnose (35).jpg,2
32,855e9426fd6d91ac21637554877003c2c11787d77125bf15a1242a7a05b0c621,Anthracnose(102),Anthracnose (36).jpg,2
33,6633a1d0326882dda1027f430c744fd6c96d897de3e0e92a1e63c68ba851eaf7,Anthracnose(102),Anthracnose (37).jpg,2
34,d3033583481d5ef2b835943a628bdd25ff3c0227931663e6220dc12d07e844f6,Anthracnose(102),Anthracnose (38).jpg,2
