2026-07-30 17:45:47 | INFO | Using device: mps
2026-07-30 17:45:47 | INFO | PyTorch 2.2.2 | scikit-learn PCA target dim: 128
2026-07-30 17:45:47 | INFO | Loaded 39078 manifest rows from /Users/abubakarsiddique/Desktop/plantdataset/logs/master_manifest.csv
2026-07-30 17:47:39 | INFO | Using device: mps
2026-07-30 17:47:39 | INFO | PyTorch 2.2.2 | scikit-learn PCA target dim: 128
2026-07-30 17:47:39 | INFO | Loaded 39078 manifest rows from /Users/abubakarsiddique/Desktop/plantdataset/logs/master_manifest.csv
2026-07-30 17:48:20 | INFO | Using device: mps
2026-07-30 17:48:20 | INFO | PyTorch 2.2.2 | scikit-learn PCA target dim: 128
2026-07-30 17:48:21 | INFO | Loaded 39078 manifest rows from /Users/abubakarsiddique/Desktop/plantdataset/logs/master_manifest.csv
2026-07-30 17:48:29 | ERROR | Failed row 31 (Malabar_Dataset/Anthracnose(102)/Anthracnose (35).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:30 | ERROR | Failed row 32 (Malabar_Dataset/Anthracnose(102)/Anthracnose (36).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:30 | ERROR | Failed row 33 (Malabar_Dataset/Anthracnose(102)/Anthracnose (37).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:30 | ERROR | Failed row 34 (Malabar_Dataset/Anthracnose(102)/Anthracnose (38).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:31 | ERROR | Failed row 35 (Malabar_Dataset/Anthracnose(102)/Anthracnose (39).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:31 | ERROR | Failed row 36 (Malabar_Dataset/Anthracnose(102)/Anthracnose (4).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:31 | ERROR | Failed row 37 (Malabar_Dataset/Anthracnose(102)/Anthracnose (40).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:31 | ERROR | Failed row 38 (Malabar_Dataset/Anthracnose(102)/Anthracnose (41).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:32 | ERROR | Failed row 39 (Malabar_Dataset/Anthracnose(102)/Anthracnose (42).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:32 | ERROR | Failed row 40 (Malabar_Dataset/Anthracnose(102)/Anthracnose (43).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:32 | ERROR | Failed row 41 (Malabar_Dataset/Anthracnose(102)/Anthracnose (44).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:32 | ERROR | Failed row 42 (Malabar_Dataset/Anthracnose(102)/Anthracnose (45).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:33 | ERROR | Failed row 43 (Malabar_Dataset/Anthracnose(102)/Anthracnose (46).JPG): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:33 | ERROR | Failed row 44 (Malabar_Dataset/Anthracnose(102)/Anthracnose (47).JPG): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:33 | ERROR | Failed row 45 (Malabar_Dataset/Anthracnose(102)/Anthracnose (48).JPG): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:34 | ERROR | Failed row 46 (Malabar_Dataset/Anthracnose(102)/Anthracnose (49).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:34 | ERROR | Failed row 47 (Malabar_Dataset/Anthracnose(102)/Anthracnose (5).jpg): Classical feature dim mismatch: got 91, expected 1067
